"AppName","FileName","FileExtension","SourcePath","PackagePath","InstallCommand","UninstallCommand","DetectionType","MSIProductCode","RegistryKeyPath","RegistryValueName","RegistryOperator","RegistryValue","Is32BitApp","ProductVersion","Publisher","Status"
"cpu-z_2.18-en","cpu-z_2.18-en.exe",".exe","C:\Users\Administrator\Andrew J IT Labs\INTUNE PROJECT\IntunePackaging-Simple\Source\cpu-z_2.18-en.exe",".\Output\Packages\cpu-z_2.18-en.intunewin","cpu-z_2.18-en.exe /VERYSILENT /NORESTART","Uninstall command not detected - check registry after installation","File","N/A","Use file detection or install to find registry key","","","","Unknown","","","Success"
"hwi64_834","hwi64_834.exe",".exe","C:\Users\Administrator\Andrew J IT Labs\INTUNE PROJECT\IntunePackaging-Simple\Source\hwi64_834.exe",".\Output\Packages\hwi64_834.intunewin","hwi64_834.exe /VERYSILENT /NORESTART","Uninstall command not detected - check registry after installation","File","N/A","Use file detection or install to find registry key","","","","Unknown","","","Success"
